Album	Album
Clip	Clip
Element	Element
B-roll	Element
broll	Element
Field Tape	Element
News Conference	Element
NEWS RELEASE	Element
News Tape	Element
Original footage	Element
Original recording	Element
Outtake	Element
Raw Footage	Element
Stock Footage	Element
Stock shot	Element
unedited footage	Element
Episode	Episode
Program	Program
Distribution dub	Program
PBS backup	Program
PBS Master	Program
PBS Master uncaptioned	Program
Porgram	Program
Radio program (Master)	Program
Television feature	Program
Television mini-series	Program
Television series	Program
Television special	Program
Promo	Promo
Advertis	Promo
Commercial Spots	Promo
PSA	Promo
Public Announcement	Promo
Trailer	Promo
Segment	Segment
Segrment	Segment
Track	Track
Ep	Episode
epi	Episode
	Uncataloged
