0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
74   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /Users/chuck_mccallum/starting/AAPB2/jetty/contexts at interval 0
100  [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /Users/chuck_mccallum/starting/AAPB2/jetty/contexts/solr.xml
201  [main] INFO  org.eclipse.jetty.webapp.WebInfConfiguration  – Extract jar:file:/Users/chuck_mccallum/starting/AAPB2/jetty/webapps/solr.war!/ to /Users/chuck_mccallum/starting/AAPB2/jetty/solr-webapp/webapp
1965 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
2065 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init()
2103 [main] INFO  org.apache.solr.core.SolrResourceLoader  – JNDI not configured for solr (NoInitialContextEx)
2103 [main] INFO  org.apache.solr.core.SolrResourceLoader  – using system property solr.solr.home: /Users/chuck_mccallum/starting/AAPB2/jetty/solr
2109 [main] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/Users/chuck_mccallum/starting/AAPB2/jetty/solr/'
2111 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/chuck_mccallum/starting/AAPB2/jetty/solr/lib/contrib/' to classloader
2111 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/chuck_mccallum/starting/AAPB2/jetty/solr/lib/solr-analysis-extras-4.9.0.jar' to classloader
2112 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/chuck_mccallum/starting/AAPB2/jetty/solr/lib/solr-clustering-4.9.0.jar' to classloader
2112 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/chuck_mccallum/starting/AAPB2/jetty/solr/lib/solr-langid-4.9.0.jar' to classloader
2243 [main] INFO  org.apache.solr.core.ConfigSolr  – Loading container configuration from /Users/chuck_mccallum/starting/AAPB2/jetty/solr/solr.xml
2573 [main] INFO  org.apache.solr.core.CoreContainer  – New CoreContainer 1767895777
2575 [main] INFO  org.apache.solr.core.CoreContainer  – Loading cores into CoreContainer [instanceDir=/Users/chuck_mccallum/starting/AAPB2/jetty/solr/]
2577 [main] INFO  org.apache.solr.core.CoreContainer  – loading shared library: /Users/chuck_mccallum/starting/AAPB2/jetty/solr/lib
2577 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/chuck_mccallum/starting/AAPB2/jetty/solr/lib/contrib/' to classloader
2578 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/chuck_mccallum/starting/AAPB2/jetty/solr/lib/solr-analysis-extras-4.9.0.jar' to classloader
2578 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/chuck_mccallum/starting/AAPB2/jetty/solr/lib/solr-clustering-4.9.0.jar' to classloader
2578 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/chuck_mccallum/starting/AAPB2/jetty/solr/lib/solr-langid-4.9.0.jar' to classloader
2607 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting socketTimeout to: 0
2607 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting urlScheme to: null
2612 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting connTimeout to: 0
2612 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxConnectionsPerHost to: 20
2612 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting corePoolSize to: 0
2613 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maximumPoolSize to: 2147483647
2613 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxThreadIdleTime to: 5
2613 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting sizeOfQueue to: -1
2613 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting fairnessPolicy to: false
2950 [main] INFO  org.apache.solr.logging.LogWatcher  – SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
2951 [main] INFO  org.apache.solr.logging.LogWatcher  – Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
2952 [main] INFO  org.apache.solr.core.CoreContainer  – Host Name: 
3092 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/Users/chuck_mccallum/starting/AAPB2/jetty/solr/blacklight-core/'
3167 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrConfig  – Adding specified lib dirs to ClassLoader
